alltime,country,id,pollyear,position,artist,track,releaseyear
True,USA,155,1991.0,79.0,Dinosaur Jr,Freak Scene,1988
True,Australia,156,1991.0,80.0,Def FX,Surfers of the Mind,1990
True,UK,157,1991.0,81.0,The Stone Roses,She Bangs The Drums,1989
True,UK,158,1991.0,82.0,Ride,Vapour Trail,1991
True,Australia,159,1991.0,83.0,Yothu Yindi,Treaty,1991
True,UK,160,1991.0,84.0,The Only Ones,"Another Girl, Another Planet",1978
True,UK,161,1991.0,86.0,The Wonder Stuff,The Size of a Cow,1991
True,UK,162,1991.0,87.0,The Rolling Stones,Sympathy for the Devil,1968
True,Australia,163,1991.0,88.0,Nick Cave & The Bad Seeds,Mercy Seat,1988
True,USA,164,1991.0,89.0,Metallica,One,1989
True,Ireland,165,1991.0,90.0,My Bloody Valentine,Soon,1991
True,USA,166,1991.0,91.0,Pixies,Monkey Gone to Heaven,1989
True,USA,167,1991.0,92.0,Public Enemy,Bring the Noise,1987
True,UK,168,1991.0,93.0,XTC,Dear God,1986
True,USA,169,1991.0,94.0,Pixies,Wave Of Mutilation,1989
True,UK,170,1991.0,95.0,Jesus Jones,Info Freako,1989
True,Australia,171,1991.0,96.0,The Go-Betweens,Cattle and Cane,1983
True,UK,172,1991.0,97.0,The Clash,London Calling,1979
True,Ireland,173,1991.0,98.0,U2,Bad,1984
True,Australia,174,1991.0,99.0,Nick Cave & The Bad Seeds,Deanna,1988
True,USA,175,1991.0,100.0,Prince,Cream,1991
False,USA,176,2002.0,1.0,Queens of the Stone Age,No One Knows,2002
False,Australia,177,2002.0,2.0,Grinspoon,Chemical Heart,2002
False,Australia,178,2002.0,3.0,The Waifs,London Still,2002
False,Australia,179,2002.0,4.0,1200 Techniques,Karma,2002
False,Australia,180,2002.0,5.0,The Vines,Get Free,2002
False,Australia,181,2002.0,6.0,Machine Gun Fellatio,Rollercoaster,2002
False,USA,182,2002.0,7.0,Eminem,Lose Yourself,2002
False,Australia,183,2002.0,8.0,Machine Gun Fellatio,Pussytown,2002
