Year,Position,Artist,Song
1996,8,Allen Ginsberg,Ballad of the Skeletons
1996,9,Weezer,El Scorcho
1996,10,Baby Bird,You're Gorgeous
1996,11,311,Down
1996,12,Underworld,Born Slippy
1996,13,The Smashing Pumpkins,1979
1996,14,Fun Lovin' Criminals,Scooby Snacks
1996,15,Regurgitator,Kong Foo Sing
1996,16,Babylon Zoo,Spaceman
1996,17,The Prodigy,Firestarter
1996,18,Powderfinger,D.A.F.
1996,19,Bush,Swallowed
1996,20,The Fauves,Dogs Are the Best People
1996,21,Foo Fighters,Down in the Park
1996,22,Ash,Oh Yeah
1996,23,Regurgitator,I Sucked a Lot of Cock to Get Where I Am
1996,24,Everclear,Santa Monica
1996,25,No Doubt,Just a Girl
1996,26,Chemical Brothers,Setting Sun
1996,27,Cake,The Distance
1996,28,The Smashing Pumpkins,Zero
1996,29,Beck,Devil's Haircut
1996,30,The Fauves,Self Abuser
1996,31,Skin,Mah Na Mah Na
1996,32,Powderfinger,Living Type
1996,33,2Pac,California Love
1996,34,Tracy Bonham,Mother Mother
1996,35,Fugees,Killing Me Softly
1996,36,Primitive Radio Gods,Standing Outside a Broken Phone Booth with Money in My Hand
1996,37,Jamiroquai,Virtual Insanity
1996,38,Bush,Comedown
1996,39,The Eels,Novocaine for the Soul
1996,40,Tricky/Garbage,Milk
1996,41,Geggy Tah,Whoever You Are
1996,42,Fini Scad,Coppertone
1996,43,Beck,Where It's At
1996,44,The Cranberries,Salvation
1996,45,Nirvana,Aneurysm {Muddy Banks of the Wishka live version}
1996,46,Rage Against the Machine,Bulls on Parade
1996,47,Pearl Jam,"Hail, Hail"
1996,48,Nada Surf,Popular
1996,49,Definition of Sound,Pass the Vibes
1996,50,The Presidents of the USA,Mach 5
1996,51,Garbage,Only Happy When It Rains
1996,52,Metallica,Until It Sleeps
1996,53,Bjork,Hyperballad
1996,54,The Lemonheads,If I Could Talk I'd Tell You
1996,55,The Smashing Pumpkins,"Tonight, Tonight"
1996,56,The Eels,Susan's House
1996,57,Rebecca's Empire,So Rude
1996,58,Everclear,Heartspark Dollarsign
1996,59,Tumbleweed,Silver Lizard
1996,60,Kula Shaker,Hey Dude
