,artist,song_url,track
106,The Lemonheads,https://genius.com/The-lemonheads-the-outdoor-type-lyrics,Outdoor Type
107,Robyn Loau,XX-,Sick With Love
108,The Mark of Cain,XX-,Degenerate Boy
109,Brainbug,https://genius.com/Brainbug-nightmare-sinister-strings-edit-lyrics,Nightmare
110,Beaverloop,XX-,Nothing
111,Dandy Warhols,https://genius.com/The-dandy-warhols-not-if-you-were-the-last-junkie-on-earth-lyrics,Last Junkie on Earth
112,Skunkhour,XX-,Weightlessness
113,Arkarna,https://genius.com/Arkarna-the-futures-overrated-lyrics,Futures Overrated
114,Cake,https://genius.com/Cake-short-skirt-long-jacket-lyrics,Short Skirt/Long Jacket
115,28 Days/Apollo 440,https://genius.com/Big-shaq-mans-not-hot-lyrics,Say What?
116,U2,https://genius.com/U2-elevation-tomb-raider-mix-lyrics,Elevation {Tomb Raider Remix}
117,The Eels,https://genius.com/Eels-souljacker-part-i-lyrics,Souljacker
118,Big Heavy Stuff,XX-,Hibernate
119,Cruel Sea,https://genius.com/The-cruel-sea-a-simple-goodbye-lyrics,A Simple Goodbye
120,Supermen Lovers,https://genius.com/The-supermen-lovers-starlight-lyrics,Starlight
121,Endorphin,https://genius.com/Eminem-campaign-speech-lyrics,Sex And Violence
122,The John Butler Trio,https://genius.com/John-butler-trio-better-than-lyrics,Better Than
123,The John Butler Trio,https://genius.com/John-butler-trio-used-to-get-high-lyrics,Used To Get High
124,Regina Spektor,https://genius.com/Regina-spektor-real-love-lyrics,Real Love {Like A Version}
125,The John Butler Trio,https://genius.com/John-butler-trio-good-excuse-lyrics,Good Excuse
126,Karnivool,https://genius.com/Karnivool-the-only-way-lyrics,The Only Way {Gotye cover}
127,Amy Winehouse,https://genius.com/Amy-winehouse-rehab-remix-lyrics,Rehab {Jay-Z Remix}
128,The Waifs,https://genius.com/The-waifs-sundirtwater-lyrics,Sun Dirt Water
129,The Bumblebeez,https://genius.com/Jack-staubers-micropop-doctor-lyrics,Dr. Love
130,Pez,https://genius.com/Pez-the-festival-song-lyrics,The Festival Song {ft. 360 & Hailey Cramer}
131,Pnau,https://genius.com/Pnau-embrace-lyrics,Embrace {ft. Ladyhawke}
132,Dizzee Rascal,https://genius.com/Dizzee-rascal-dance-wiv-me-lyrics,Dance Wiv Me {ft. Calvin Harris & Chrome}
133,Muscles,https://genius.com/Wilbur-soot-your-new-boyfriend-lyrics,Ice Cream {Triple J live acoustic version}
134,Santogold,https://genius.com/Santigold-les-artistes-lyrics,L.E.S. Artistes
135,The John Butler Trio,https://genius.com/John-butler-trio-funky-tonight-lyrics,Funky Tonight
136,The Saboteurs,XX-,"Steady, As She Goes"
137,Karnivool,XX-,Roquefort {ft. The Cat Empire}
138,Foo Fighters,https://genius.com/Foo-fighters-everlong-acoustic-lyrics,Everlong {Acoustic Live}
139,Freestylers/Pendulum,https://genius.com/Freestylers-painkiller-lyrics,Painkiller
140,Kanye West,https://genius.com/Kanye-west-touch-the-sky-lyrics,Touch the Sky {ft. Lupe Fiasco}
141,Jurassic 5,https://genius.com/Jurassic-5-work-it-out-lyrics,Work It Out {ft. Dave Matthews Band}
142,The Gossip,https://genius.com/Gossip-standing-in-the-way-of-control-lyrics,Standing In The Way Of Control
143,Presidents of the U.S.A.,https://genius.com/The-presidents-of-the-united-states-of-america-kitty-lyrics,Kitty
144,Nick Cave & The Bad Seeds and Kylie Minogue,https://genius.com/Nick-cave-and-the-bad-seeds-where-the-wild-roses-grow-lyrics,Where the Wild Roses Grow
145,Presidents of the U.S.A.,https://genius.com/The-presidents-of-the-united-states-of-america-lump-lyrics,Lump
146,Insurge,XX-,Political Prisoners
147,Def FX,XX-,Psychoactive Summer
148,Screaming Jets,https://genius.com/The-screaming-jets-sad-song-lyrics,Sad Song
149,Rail,https://genius.com/Non-phixion-legacy-lyrics,Immune Deficiency
150,Strawpeople,XX-,Trick with a Knife
151,Mr Blonde,https://genius.com/Bishu-machine-lyrics,Sunday
152,Pop!,https://genius.com/Pop-2-tingly-lyrics,Tingly {ft. Angie Hart}
153,Hecate,https://genius.com/Arabrot-and-the-whore-is-this-city-lyrics,By Myself
154,Dandy Warhols,https://genius.com/The-dandy-warhols-bohemian-like-you-lyrics,Bohemian Like You
155,The Whitlams,https://genius.com/The-whitlams-thankyou-for-loving-me-at-my-worst-lyrics,Thank You (For Loving Me at My Worst)
156,Dandy Warhols,https://genius.com/The-dandy-warhols-get-off-lyrics,Get Off
157,The Fauves,https://genius.com/Fauves-the-give-up-your-day-job-lyrics,Give Up Your Day Job
158,Machine Gun Fellatio,https://genius.com/Machine-gun-fellatio-mutha-fukka-on-a-motorcycle-lyrics,Mofo On A Motor Cycle
159,Killing Heidi,https://genius.com/Killing-heidi-superman-supergirl-lyrics,Superman/Supergirl
160,Tex Perkins,https://genius.com/Tex-perkins-and-the-dark-horses-lucid-lyrics,I Know You Know I Know
161,Insurge,XX-,Speculator
162,Hunters & Collectors,https://genius.com/Hunters-and-collectors-throw-your-arms-around-me-lyrics,Throw Your Arms Around Me
163,Salmon Hater,XX-,6.66
164,Simian Mobile Disco,XX-,Audacity of Huge {ft. Chris Keating}
165,Hunters & Collectors,https://genius.com/Hunters-and-collectors-throw-your-arms-around-me-lyrics,Throw Your Arms Around Me
166,Pendulum,XX-,ABC News Theme Remix
167,Andy Bull,XX-,Dog {ft. Lisa Mitchell}
168,Christine Anu & Paul Kelly,XX-,Last Train
169,Mixed Relations,XX-,Aboriginal Woman
170,Josh Abrahams & Amiel Daemion,XX-,Addicted to Bass
171,Pollyanna,XX-,Cinnamon Lip
172,Your Wedding Night,XX-,Lachlan
173,The Panda Band,XX-,Sleepy Little Deathtoll Town
174,Hunters & Collectors,https://genius.com/Hunters-and-collectors-throw-your-arms-around-me-lyrics,Throw Your Arms Around Me
175,Pendulum {Melbourne},XX-,Coma
176,Robyn Loau,XX-,Sick With Love
177,The Mark of Cain,XX-,Degenerate Boy
178,Beaverloop,XX-,Nothing
179,Skunkhour,XX-,Weightlessness
180,Big Heavy Stuff,XX-,Hibernate
181,Pnau,https://genius.com/Pnau-baby-lyrics,Baby
182,The Saboteurs,XX-,"Steady, As She Goes"
183,Karnivool,XX-,Roquefort {ft. The Cat Empire}
184,Insurge,XX-,Political Prisoners
185,Def FX,XX-,Psychoactive Summer
186,Strawpeople,XX-,Trick with a Knife
187,Groove Terminator,https://genius.com/albums/Various-artists/A-motown-holiday-ep,One More Time (Sunshine Song)
188,Coldplay,https://genius.com/Coldplay-clocks-royksopp-trembling-heart-remix-lyrics,Clocks {Royksopp Remix}
189,The John Butler Trio,https://genius.com/John-butler-trio-zebra-lyrics,Zebra
190,The Beautiful Girls,https://genius.com/The-beautiful-girls-blackbird-lyrics,Black Bird
191,The Strokes,https://genius.com/The-strokes-12-51-lyrics,12:51
192,The Herd,https://genius.com/The-herd-77-lyrics,77%
193,Radiohead,https://genius.com/Radiohead-2-2-5-lyrics,2 + 2 = 5
194,The John Butler Trio,https://genius.com/John-butler-trio-sista-lyrics,Sista (Live)
195,The Bens,https://genius.com/The-bens-rock-just-pretend-lyrics,Just Pretend
196,Amiel,https://genius.com/Amiel-love-song-lyrics,Lovesong
197,The Butterfly Effect,https://genius.com/The-butterfly-effect-one-second-of-insanity-lyrics,1 Second Of Insanity
198,The Roots,https://genius.com/The-roots-the-seed-20-lyrics,The Seed (2.0) {ft. Cody ChesnuTT}
199,The Chemical Brothers,https://genius.com/The-chemical-brothers-the-golden-path-lyrics,The Golden Path {ft. The Flaming Lips}
200,Basement Jaxx,https://genius.com/Basement-jaxx-good-luck-lyrics,Good Luck {ft. Lisa Kekaula}
201,Offcutts,XX-,Break It (Down James Brown)
202,Soggy Bottom Boys,XX-,Man of Constant Sorrow {Skeewiff Remix}
